ts,longitude,latitude
2000-01-12 04:14:19+01:00,-6.959696582808499,38.92482391562368
2000-01-12 04:14:29+01:00,-6.959530783269407,38.92476550387829
2000-01-12 04:14:39+01:00,-6.959344938237092,38.924697738445154
2000-01-12 04:14:49+01:00,-6.9591760599751,38.92475713875325
2000-01-12 04:14:59+01:00,-6.959032593276705,38.92487894091644
2000-01-12 04:15:09+01:00,-6.959004103981748,38.925113324771466
2000-01-12 04:15:19+01:00,-6.958906450509987,38.92527788570294
2000-01-12 04:15:29+01:00,-6.958795390339506,38.92532091214225
2000-01-12 04:15:39+01:00,-6.958705559081898,38.92541442771417
2000-01-12 04:15:49+01:00,-6.958514159800087,38.92546525977915
2000-01-12 04:15:59+01:00,-6.95842403080866,38.92558435160115
2000-01-12 04:16:09+01:00,-6.958352694798428,38.925616537452086
